animal_name,animal_gender,animal_birth_year,breed_rc,borough,zip_code,license_issued_date,license_expired_date,extract_year
Hans,M,2014,Golden Retriever,Brooklyn,11229,12/14/2014,12/14/2019,2016
Potato,F,2013,"Bull Dog, French",Manhattan,10036,12/14/2014,1/15/2016,2016
Quincy,M,2012,"Coonhound, Treeing Walker",Brooklyn,11216,12/14/2014,1/21/2016,2016
Napoleon,M,2007,"Bull Dog, French",Brooklyn,11231,12/14/2014,1/6/2018,2016
Wendy,F,2014,Bassett Hound,Queens,11697,12/14/2014,12/14/2019,2016
Arlo,M,2013,Bassett Hound,Brooklyn,11211,12/14/2014,12/14/2019,2016
Chuey,M,2012,Labradoodle,Manhattan,10026,12/14/2014,1/19/2020,2016
Lyla,F,2012,Vizsla,Brooklyn,11215,12/14/2014,12/26/2019,2016
Sire,M,2005,Chihuahua,Manhattan,10028,12/14/2014,1/7/2018,2016
Howie,M,2007,Bichon Frise,Queens,11101,12/14/2014,12/19/2017,2016
Coco,F,2010,Jack Russell Terrier,Brooklyn,11237,12/14/2014,1/10/2018,2016
Sasha,F,2011,Maltese,Queens,11102,12/14/2014,1/11/2018,2016
Lilly,F,2008,Unknown,Manhattan,10023,12/14/2014,2/16/2018,2016
Spike,M,2011,"Collie, Border",Manhattan,10009,12/14/2014,11/25/2019,2016
Chewy,M,2013,Shih Tzu,Queens,11375,12/14/2014,1/5/2016,2016
Scruffy,M,2006,Chihuahua,Brooklyn,11236,12/14/2014,12/14/2016,2016
Lazie,F,2014,Labrador (or Crossbreed),Brooklyn,11226,12/14/2014,12/14/2019,2016
Yoshi,M,2012,"Poodle, Toy",Queens,11373,12/14/2014,12/14/2016,2016
Peaches,F,2008,Poodle,Bronx,10471,12/14/2014,12/14/2017,2016
Boomer,F,2011,Beagle Crossbreed,Manhattan,10025,12/14/2014,1/28/2016,2016
Lucy,F,2008,Wheaton Terrier,Manhattan,10003,12/14/2014,1/15/2018,2016
Chloe,F,2010,"Bull Dog, French",Manhattan,10036,12/14/2014,1/15/2016,2016
Rex,M,2014,Havanese,Staten Island,10312,12/14/2014,12/14/2019,2016
Rupert,M,2013,Shih Tzu,Manhattan,10021,12/14/2014,12/14/2019,2016
Rowan,F,2012,Pit Bull,Brooklyn,11216,12/14/2014,12/14/2019,2016
Sasha,F,2014,Pit Bull,Bronx,10461,12/14/2014,12/14/2019,2016
Charley,M,2014,Cocker Spaniel,Manhattan,10011,12/14/2014,12/14/2016,2016
Six,F,2009,"Schnauzer, Miniature",Brooklyn,11206,12/14/2014,12/30/2019,2016
Tia,F,2001,Siberian Husky,Brooklyn,11215,12/14/2014,1/4/2016,2016
Rudy,M,2007,Cairn Terrier,Manhattan,10023,12/14/2014,1/10/2018,2016
Molly,F,2010,Unknown,Manhattan,10025,12/14/2014,1/17/2016,2016
Max,M,1999,Miniature Pinscher,Queens,11378,12/14/2014,1/30/2016,2016
Norman,M,2012,Beagle,Manhattan,10007,12/14/2014,12/14/2019,2016
Koyuki,F,2014,Labrador (or Crossbreed),Brooklyn,11211,12/14/2014,12/14/2019,2016
Ollie,M,2013,Australian Shepherd,Brooklyn,11211,12/14/2014,12/14/2019,2016
Pirulina,F,2005,Labrador (or Crossbreed),Manhattan,10012,12/14/2014,1/22/2016,2016
Emelia,F,2013,Tibetan Spaniel,Brooklyn,11231,12/14/2014,12/14/2019,2016
Christopher,M,2006,Rat Terrier,Brooklyn,11222,12/14/2014,12/14/2019,2016
Bailey,F,2005,Labrador (or Crossbreed),Queens,11366,12/14/2014,1/30/2016,2016
Zeke,M,1990,Coton De Tulear,Queens,11375,12/14/2014,1/30/2016,2016
Charlie,F,2007,Unknown,Manhattan,10128,12/14/2014,1/28/2020,2016
Clyde,M,2010,Unknown,Brooklyn,11238,12/14/2014,1/18/2016,2016
Miles,M,2005,Labrador (or Crossbreed),Brooklyn,11231,12/14/2014,12/14/2017,2016
Puppy,M,2005,Havanese,Manhattan,10034,12/14/2014,12/14/2016,2016
Jones,M,2011,Jack Russell Terrier,Manhattan,10040,12/14/2014,12/14/2019,2016
Shelby,F,2013,Rat Terrier,Manhattan,10036,12/14/2014,12/14/2019,2016
Sweetp,F,2009,Rat Terrier,Brooklyn,11238,12/14/2014,12/14/2017,2016
Sooni,F,2006,Cocker Spaniel,Queens,11358,12/14/2014,1/14/2016,2016
Bandit,F,2011,Australian Cattledog,Manhattan,10026,12/14/2014,12/13/2019,2016
Twyla,F,2007,Chinese Crested,Queens,11375,12/14/2014,1/30/2020,2016
Charlie,M,2009,Unknown,Manhattan,10280,12/14/2014,1/7/2016,2016
Maddie,F,2006,Cavalier King Charles Spaniel,Manhattan,10023,12/15/2014,1/27/2018,2016
Gunther,M,2000,Unknown,Manhattan,10036,12/15/2014,1/30/2016,2016
Toby,M,2011,Shih Tzu,Brooklyn,11233,12/15/2014,1/18/2018,2016
Sam,M,2008,Unknown,Manhattan,10013,12/15/2014,12/30/2016,2016
Molly,F,2005,Unknown,Manhattan,10024,12/15/2014,1/30/2018,2016
Bella,F,2009,Labrador (or Crossbreed),Manhattan,10007,12/15/2014,12/15/2016,2016
Kali,F,2011,Unknown,Queens,11109,12/15/2014,1/14/2017,2016
Luka,M,2009,Samoyed,Brooklyn,11228,12/15/2014,1/8/2016,2016
Tennessee,M,2008,Unknown,Manhattan,10009,12/15/2014,1/22/2020,2016
George,M,2005,Boston Terrier,Manhattan,10028,12/15/2014,1/30/2016,2016
Zosya,F,2010,Dachshund Smooth Coat Miniature,Brooklyn,11209,12/15/2014,1/8/2016,2016
Buddy,M,2013,Italian Greyhound,Brooklyn,11201,12/15/2014,12/15/2019,2016
Tate,F,2008,Whippet,Manhattan,10024,12/15/2014,7/1/2017,2016
Hannah,F,2007,Unknown,Manhattan,10036,12/15/2014,1/14/2016,2016
Lucas,M,2011,Golden Retriever,Bronx,10463,12/15/2014,1/12/2016,2016
Coco,F,2010,Yorkshire Terrier,Brooklyn,11222,12/15/2014,12/10/2017,2016
Ra,M,2014,Pit Bull,Queens,11385,12/15/2014,12/15/2019,2016
Lily,F,2007,Yorkshire Terrier,Manhattan,10009,12/15/2014,9/5/2017,2016
Albert,M,2008,"Bull Dog, French",Manhattan,10014,12/15/2014,1/20/2016,2016
Indigo,F,2010,American Staffordshire Terrier,Staten Island,10301,12/15/2014,1/28/2016,2016
Sam,M,2007,Bassett Hound,Manhattan,10028,12/15/2014,1/4/2016,2016
Milana,F,2005,Italian Greyhound,Manhattan,10065,12/15/2014,1/10/2020,2016
Packy,M,2008,Boxer,Bronx,10466,12/15/2014,3/10/2016,2016
Sammy,M,2013,Australian Silky Terrier,Staten Island,10303,12/15/2014,1/10/2016,2016
Kingston,M,2011,Unknown,Manhattan,10039,12/15/2014,1/14/2016,2016
Mosby,M,2009,"Schnauzer, Miniature",Manhattan,10027,12/15/2014,1/16/2016,2016
Ruby,F,2005,Jack Russell Terrier,Manhattan,10022,12/15/2014,12/30/2017,2016
Keltie,F,2000,Cavalier King Charles Spaniel,Manhattan,10021,12/15/2014,1/30/2016,2016
Juliebetty,F,2001,Unknown,Manhattan,10025,12/15/2014,1/30/2016,2016
Reba,F,2004,Australian Shepherd,NA,10125,12/15/2014,12/16/2017,2016
Roscoe,M,2005,Unknown,Manhattan,10024,12/16/2014,12/29/2019,2016
Biggie,M,2010,Pug,Manhattan,10024,12/16/2014,1/24/2017,2016
Baxter,M,2011,Unknown,Manhattan,10021,12/16/2014,1/30/2017,2016
Jophiel,M,2007,"Poodle, Toy",Queens,11004,12/16/2014,2/1/2016,2016
Mikhail,M,2007,Pomeranian,Queens,11004,12/16/2014,2/1/2016,2016
Dali,M,2012,Boston Terrier,Manhattan,10025,12/16/2014,1/14/2016,2016
Oscar,M,2012,Havanese,Bronx,10453,12/16/2014,1/16/2016,2016
Hazel,F,2011,Pit Bull,Queens,11434,12/16/2014,12/16/2016,2016
Sasha,F,2013,Border Collie,Manhattan,10014,12/16/2014,12/16/2016,2016
Deacon,M,2013,Maltese,Manhattan,10028,12/16/2014,1/6/2018,2016
Buster,M,2009,Unknown,Staten Island,10307,12/16/2014,2/9/2016,2016
Robespierre,M,2003,Cavalier King Charles Spaniel,Manhattan,10038,12/16/2014,1/19/2016,2016
Oliebol,F,2008,Vizsla,Brooklyn,11211,12/16/2014,1/24/2016,2016
Pepper,M,2003,Pomeranian,Queens,11102,12/16/2014,1/28/2016,2016
Stella,F,2008,Labrador (or Crossbreed),Manhattan,10009,12/16/2014,2/9/2016,2016
Harvey,M,2006,Unknown,Manhattan,10024,12/16/2014,2/7/2016,2016
Simba,M,2009,Pekingese,Staten Island,10314,12/16/2014,2/11/2016,2016
Nacho,M,2001,Unknown,Staten Island,10303,12/16/2014,1/30/2016,2016
Little,M,2010,Unknown,Queens,11432,12/16/2014,2/7/2016,2016
Name Not Provided,F,2011,Miniature Pinscher,Queens,11428,12/16/2014,2/9/2016,2016
Inga,F,2006,Unknown,Queens,11362,12/16/2014,2/10/2016,2016
Rocky,M,2006,"Bull Dog, English",Brooklyn,11220,12/16/2014,12/11/2016,2016
Tinkerbell,F,2008,Unknown,Queens,11432,12/16/2014,2/7/2016,2016
Max,M,2006,Cavalier King Charles Spaniel,Queens,11104,12/16/2014,2/4/2016,2016
Coco,F,2006,Unknown,Queens,11418,12/16/2014,1/30/2016,2016
Beans,M,2007,Chihuahua,Bronx,10451,12/16/2014,1/20/2017,2016
Jack,M,2010,Unknown,Manhattan,10004,12/16/2014,12/20/2017,2016
Lexi,F,2013,Maltese,Manhattan,10027,12/16/2014,1/12/2016,2016
Bear,M,2011,Unknown,Manhattan,10023,12/16/2014,2/15/2016,2016
Yoyo,M,2003,"Bull Dog, English",Brooklyn,11229,12/16/2014,1/30/2016,2016
Cody,M,2001,Unknown,Brooklyn,11215,12/16/2014,2/28/2016,2016
Lulu,F,2008,Labrador (or Crossbreed),Queens,11375,12/16/2014,1/17/2016,2016
Conan,M,2012,Wheaton Terrier,Staten Island,10312,12/16/2014,12/30/2016,2016
Pedrito,M,2004,Yorkshire Terrier,Bronx,10471,12/16/2014,1/30/2018,2016
Belle,F,2000,Unknown,Queens,11426,12/16/2014,2/5/2016,2016
Merry,F,2006,Labrador (or Crossbreed),Brooklyn,11209,12/16/2014,1/30/2018,2016
Marley,F,2006,Australian Cattle Dog,Manhattan,10033,12/17/2014,12/30/2017,2016
Seven,F,2007,Rhodesian Ridgeback,Brooklyn,11232,12/17/2014,12/27/2017,2016
Hannah,F,2007,Boxer,Manhattan,10038,12/17/2014,1/28/2016,2016
Brailee,F,2010,Boxer,Manhattan,10003,12/17/2014,12/17/2016,2016
Hope,F,2012,Labrador (or Crossbreed),Brooklyn,11222,12/17/2014,1/7/2017,2016
Rocky,M,2011,Pekingese,Brooklyn,11237,12/17/2014,1/3/2016,2016
Kima,F,2011,"Schnauzer, Standard",Brooklyn,11217,12/17/2014,12/17/2019,2016
Emma,F,2011,"Poodle, Miniature",Staten Island,10302,12/17/2014,1/24/2016,2016
Peluche,M,2008,"Poodle, Standard",Manhattan,10027,12/17/2014,12/30/2019,2016
Sampson,M,2009,"Bull Dog, French",Brooklyn,11214,12/17/2014,1/19/2016,2016
Benji,M,2001,"Poodle, Toy",Brooklyn,11211,12/17/2014,2/19/2016,2016
Bonniebelle,F,2007,Great Dane,Brooklyn,11205,12/17/2014,12/17/2016,2016
Mr.,M,2010,Maltese,Queens,11370,12/17/2014,12/17/2019,2016
Arby,M,2007,German Shepherd Dog,Queens,11101,12/17/2014,1/21/2016,2016
Miles,M,2006,Golden Retriever,Manhattan,10038,12/17/2014,1/28/2016,2016
Lucky,M,2012,Yorkshire Terrier,Queens,11385,12/17/2014,5/24/2017,2016
Pippa,F,2011,Bull Terrier,Manhattan,10023,12/17/2014,1/3/2016,2016
Bella,F,2009,Labrador (or Crossbreed),Brooklyn,11230,12/17/2014,1/29/2017,2016
Bonnie,F,1999,Wheaton Terrier,Manhattan,10022,12/17/2014,1/7/2016,2016
Wadadli,M,2008,"Bull Dog, French",Manhattan,10075,12/17/2014,1/5/2016,2016
Theodore,M,2013,Shih Tzu,Manhattan,10019,12/18/2014,1/9/2017,2016
Jett,F,2011,Labrador (or Crossbreed),NA,11249,12/18/2014,12/29/2019,2016
Betty,F,2009,Unknown,Manhattan,10025,12/18/2014,11/29/2016,2016
Starsky,M,2013,Unknown,Queens,11361,12/18/2014,1/6/2016,2016
Lacy,F,2013,Unknown,Queens,11378,12/18/2014,1/9/2017,2016
Harry,M,2012,German Shepherd Dog,Brooklyn,11201,12/18/2014,12/2/2016,2016
Sammy,F,2009,Cavalier King Charles Spaniel,Manhattan,10021,12/18/2014,12/18/2016,2016
Jethro,M,2010,"Bull Dog, English",Queens,11435,12/18/2014,1/14/2016,2016
Otto,M,2012,"Bull Dog, English",Brooklyn,11216,12/18/2014,1/15/2016,2016
Charlie,M,2014,Dachshund Smooth Coat Miniature,Manhattan,10002,12/18/2014,12/18/2019,2016
Keke,F,2007,Unknown,Queens,11412,12/18/2014,11/30/2019,2016
Barrett,M,2012,Portuguese Water Dog,Brooklyn,11211,12/18/2014,1/17/2020,2016
Lily,F,2009,Cavalier King Charles Spaniel,Manhattan,10128,12/18/2014,11/19/2019,2016
Watts,M,2009,Havanese,Manhattan,10012,12/18/2014,12/1/2019,2016
Maya,F,2008,Siberian Husky,Brooklyn,11223,12/18/2014,2/22/2017,2016
M,F,2012,Maltese,Brooklyn,11213,12/18/2014,1/14/2018,2016
Major,M,2012,Labrador (or Crossbreed),Queens,11378,12/18/2014,1/18/2017,2016
Gunter,M,2013,Collie,Staten Island,10302,12/18/2014,12/18/2016,2016
Koopa,M,2014,Poodle,Manhattan,10036,12/18/2014,12/18/2016,2016
Mcchips,F,2004,Unknown,Queens,11427,12/18/2014,1/30/2016,2016
Ozzie,M,2008,German Shepherd Dog,Brooklyn,11201,12/18/2014,12/2/2016,2016
Semba,F,1999,Cocker Spaniel,Queens,11105,12/18/2014,1/30/2016,2016
Skyler,M,2011,Italian Greyhound,Manhattan,10019,12/18/2014,1/28/2016,2016
Hutch,M,2013,Unknown,Queens,11361,12/18/2014,1/6/2016,2016
Iguazu,M,2011,English Cocker Spaniel,Manhattan,10025,12/18/2014,1/21/2020,2016
Brees,M,2009,Pomeranian,NA,11249,12/19/2014,12/6/2019,2016
Xiao-Qi,M,2010,Siberian Husky,Queens,11355,12/19/2014,12/30/2019,2016
Lily,F,2009,Unknown,Manhattan,10035,12/19/2014,1/27/2020,2016
Zoey,F,2011,Siberian Husky,Manhattan,10282,12/19/2014,12/28/2016,2016
Molly,F,2013,Beagle,Brooklyn,11201,12/19/2014,1/9/2016,2016
Scout,F,2010,Labrador (or Crossbreed),Brooklyn,11206,12/19/2014,12/20/2017,2016
Evelyn,F,2011,Labrador (or Crossbreed),Manhattan,10009,12/19/2014,12/19/2019,2016
Bagheera,M,2002,Unknown,Queens,11412,12/19/2014,1/31/2016,2016
Gus,M,2013,"Bull Dog, French",Manhattan,10007,12/19/2014,1/27/2016,2016
Mike,F,2010,Labrador (or Crossbreed),Manhattan,10023,12/19/2014,1/30/2018,2016
Scooby,M,2001,Unknown,Manhattan,10023,12/19/2014,1/18/2016,2016
Aponte,M,2002,Akita Crossbreed,Queens,11361,12/19/2014,1/4/2016,2016
Patches,M,2011,Unknown,Brooklyn,11207,12/19/2014,1/3/2017,2016
Coco,F,2011,"Bull Dog, French",Manhattan,10011,12/19/2014,1/12/2016,2016
Luka,M,2012,German Shepherd Crossbreed,Manhattan,10024,12/19/2014,1/6/2016,2016
Tatum,F,2008,Pointer,Brooklyn,11205,12/20/2014,12/30/2019,2016
Chester,M,2010,Unknown,Manhattan,10023,12/20/2014,1/7/2016,2016
Sparky,M,2009,Cavalier King Charles Spaniel,Brooklyn,11214,12/20/2014,1/4/2020,2016
Rocco,M,2008,Pug,Queens,11354,12/20/2014,1/15/2016,2016
Rex,M,2008,Yorkshire Terrier,Manhattan,10033,12/20/2014,1/9/2016,2016
Hamilton,F,2010,"Bull Dog, French",Brooklyn,11205,12/20/2014,12/20/2019,2016
Cato,M,2013,Shiba Inu,Manhattan,10009,12/20/2014,11/14/2017,2016
Delfi,F,2003,Cocker Spaniel,NA,11249,12/20/2014,11/28/2016,2016
Rocky,M,2007,Shih Tzu,Manhattan,10014,12/20/2014,1/10/2016,2016
Blu,M,2006,Golden Retriever,Manhattan,10025,12/20/2014,12/31/2016,2016
Noel,M,1999,Maltese,Brooklyn,11216,12/20/2014,1/30/2016,2016
Cody,M,2014,Beagle,Queens,11373,12/20/2014,12/20/2019,2016
Daisy,F,2010,Pekingese,Brooklyn,11209,12/20/2014,12/17/2016,2016
Connor,M,2004,Bichon Frise,Manhattan,10029,12/21/2014,1/15/2020,2016
Willy,M,2012,Pit Bull,Bronx,10455,12/21/2014,6/27/2019,2016
Pokey,M,2005,Bassett Hound,Brooklyn,11201,12/21/2014,1/16/2016,2016
Bobby,M,2009,Pomeranian,Queens,11364,12/21/2014,12/21/2019,2016
Douwe,M,2011,Vizsla,Manhattan,10025,12/21/2014,12/21/2016,2016
Shep,M,2006,Unknown,Manhattan,10014,12/21/2014,1/24/2016,2016
Bella,F,2008,Belgian Malinois,Queens,11109,12/21/2014,2/23/2020,2016
Demi,F,2014,Yorkshire Terrier,Manhattan,10026,12/21/2014,12/21/2019,2016
Loki,M,2013,Siberian Husky,Manhattan,10280,12/21/2014,12/21/2019,2016
Lola,F,2012,"Pointer, German Wirehaired",Brooklyn,11215,12/21/2014,1/13/2018,2016
Sharlena,F,2003,Greyhound,Manhattan,10019,12/21/2014,1/14/2017,2016
Maxwell,M,2014,Cockapoo,Manhattan,10012,12/21/2014,12/21/2019,2016
Molly,F,2009,Pug,Manhattan,10014,12/21/2014,12/21/2016,2016
Fluffy,M,2010,Maltese,Bronx,10456,12/21/2014,2/4/2016,2016
Rex,M,2013,Unknown,Brooklyn,11201,12/21/2014,12/21/2017,2016
Leroy,M,2012,Labrador (or Crossbreed),Brooklyn,11215,12/21/2014,1/25/2016,2016
Milo,M,2012,Chihuahua,Queens,11366,12/21/2014,1/10/2016,2016
Miss.,F,2012,Yorkshire Terrier,Brooklyn,11213,12/21/2014,10/31/2019,2016
Cinder,F,2004,Australian Cattledog,Manhattan,10033,12/21/2014,12/21/2017,2016
Buster,M,2012,Unknown,Staten Island,10314,12/22/2014,1/22/2016,2016
Sam,M,2012,Labrador (or Crossbreed),Queens,11104,12/22/2014,1/24/2016,2016
Sparky,F,2002,Cocker Spaniel,Manhattan,10023,12/22/2014,1/30/2016,2016
Louie,M,1998,Unknown,Queens,11377,12/22/2014,1/14/2016,2016
Taco,M,2012,Pointer,Brooklyn,11222,12/22/2014,1/23/2020,2016
Mabel,F,2012,Unknown,Manhattan,10128,12/22/2014,1/28/2018,2016
Franky,M,2010,Beagle,Manhattan,10035,12/22/2014,12/4/2018,2016
Shorty,M,2005,Dachshund Smooth Coat,Queens,11375,12/22/2014,1/21/2016,2016
T.j.,M,2005,Unknown,Manhattan,10003,12/22/2014,1/30/2016,2016
Max,M,2005,German Shepherd Crossbreed,Brooklyn,11232,12/22/2014,1/30/2018,2016
Jay-Jay,M,2011,Unknown,Staten Island,10308,12/22/2014,12/12/2019,2016
Blackie,M,2006,Unknown,Queens,11375,12/22/2014,1/19/2016,2016
Coco,F,2007,Miniature Pinscher,Staten Island,10305,12/22/2014,12/2/2017,2016
Zoey,F,2008,Labrador (or Crossbreed),Staten Island,10302,12/22/2014,1/13/2016,2016
Adama,M,2012,Havanese,Manhattan,10025,12/22/2014,1/24/2016,2016
Luca,F,2007,"Bull Dog, English",Bronx,10471,12/22/2014,1/16/2016,2016
Scout,F,2006,Labradoodle,Manhattan,10033,12/22/2014,1/30/2016,2016
Peabody,M,2013,Pit Bull,Brooklyn,11201,12/22/2014,12/22/2019,2016
Wilbur,M,2000,Unknown,Staten Island,10304,12/22/2014,1/30/2016,2016
Harley,M,2003,"Poodle, Toy",Brooklyn,11209,12/22/2014,1/29/2016,2016
Gretzky,M,2011,Labrador (or Crossbreed),Queens,11378,12/22/2014,12/30/2019,2016
Gunny,M,2005,Unknown,Queens,11364,12/22/2014,1/27/2016,2016
Apollo,M,2014,Labrador (or Crossbreed),Manhattan,10009,12/22/2014,12/22/2017,2016
Jet,M,1999,Cairn Terrier,Queens,11379,12/22/2014,1/30/2016,2016
Simba,F,1999,German Shepherd Crossbreed,Manhattan,10011,12/22/2014,12/30/2016,2016
Hershey,F,2011,Pit Bull,NA,11249,12/22/2014,12/14/2017,2016
Sharky,M,2001,Yorkshire Terrier,Bronx,10461,12/23/2014,1/18/2016,2016
Snicker,M,2000,Unknown,Staten Island,10306,12/23/2014,1/30/2016,2016
Mr.pickles,M,2002,Lhasa Apso,Staten Island,10310,12/23/2014,1/30/2016,2016
Sasha,F,2001,German Shepherd Dog,Staten Island,10302,12/23/2014,1/30/2016,2016
Beau,M,2007,Dachshund Smooth Coat,Brooklyn,11201,12/23/2014,1/16/2016,2016
Dulcinea,F,2009,"Dachshund, Long Haired Miniature",Manhattan,10033,12/23/2014,1/2/2016,2016
Katy,F,2007,Labrador (or Crossbreed),Queens,11358,12/23/2014,1/16/2016,2016
Mini,M,2003,Labrador (or Crossbreed),Queens,11432,12/23/2014,1/4/2016,2016
Sadie,F,2006,Havanese,Manhattan,10023,12/23/2014,1/14/2016,2016
Unknown,M,2013,"Poodle, Standard",Brooklyn,11214,12/23/2014,1/14/2016,2016
Cookie,F,2002,Labrador (or Crossbreed),Brooklyn,11236,12/23/2014,1/30/2016,2016
Matty,F,2006,Unknown,Brooklyn,11218,12/23/2014,1/30/2016,2016
Jackson,M,2013,Unknown,Manhattan,10011,12/23/2014,1/29/2016,2016
Lucy,F,1998,Unknown,Manhattan,10128,12/23/2014,1/30/2016,2016
Rocky,M,2005,Pug,Staten Island,10309,12/23/2014,1/30/2016,2016
Ace,M,2008,Maltese,Manhattan,10032,12/23/2014,1/9/2016,2016
Winston,M,2012,"Bull Dog, English",Manhattan,10021,12/23/2014,1/22/2016,2016
Bowser,M,2014,Beagle Crossbreed,Manhattan,10010,12/23/2014,12/23/2017,2016
Bailey,M,2011,Yorkshire Terrier,Bronx,10473,12/23/2014,12/23/2016,2016
Digby,M,2007,Unknown,Manhattan,10025,12/23/2014,1/28/2016,2016
Java,F,2003,Labrador (or Crossbreed),Brooklyn,11226,12/23/2014,1/30/2016,2016
Angel,F,2011,Cavalier King Charles Spaniel,Staten Island,10305,12/23/2014,1/27/2016,2016
Gloria,F,2003,Maltese,Manhattan,10038,12/23/2014,1/30/2016,2016
Happi,F,2010,Pit Bull,Bronx,10463,12/23/2014,2/21/2017,2016
Rocky,M,2005,Yorkshire Terrier,Brooklyn,11224,12/23/2014,12/23/2016,2016
Tina,F,2001,Chihuahua,Bronx,10459,12/23/2014,1/30/2016,2016
Ailsa,F,2011,Wheaton Terrier,Manhattan,10029,12/23/2014,1/13/2016,2016
Luna,F,2006,Unknown,Manhattan,10009,12/23/2014,1/17/2016,2016
Sandy,F,2008,Unknown,Manhattan,10022,12/23/2014,1/11/2016,2016
Sammy,M,2013,Havanese,Manhattan,10023,12/23/2014,1/2/2016,2016
Tavish,M,2007,West High White Terrier,Manhattan,10016,12/24/2014,1/7/2016,2016
Darla,F,2012,Unknown,Brooklyn,11211,12/24/2014,1/27/2016,2016
Ranger,M,2010,Pointer,Manhattan,10016,12/24/2014,12/24/2017,2016
Rey,M,2011,German Shepherd Crossbreed,Manhattan,10009,12/24/2014,12/24/2019,2016
Lulu,F,2003,"Poodle, Miniature",Manhattan,10003,12/24/2014,1/23/2016,2016
King,M,2009,Pit Bull,Brooklyn,11208,12/24/2014,1/9/2016,2016
Pupi,M,2011,Unknown,Manhattan,10033,12/26/2014,1/13/2016,2016
Buddy,M,2004,Miniature Pinscher,Brooklyn,11234,12/26/2014,1/4/2016,2016
Rosie,F,2013,Unknown,Manhattan,10013,12/26/2014,1/21/2016,2016
Sasha,M,2003,Vizsla,Manhattan,10024,12/26/2014,1/30/2016,2016
Samantha,F,2000,Unknown,Bronx,10465,12/26/2014,1/30/2016,2016
Cookie,F,2003,Unknown,Staten Island,10306,12/26/2014,1/30/2016,2016
Kaka,M,2011,Unknown,Queens,11355,12/26/2014,1/5/2016,2016
Penny,F,2002,Unknown,Brooklyn,11231,12/26/2014,1/26/2016,2016
Scooter,M,2009,Unknown,Queens,11374,12/26/2014,1/1/2016,2016
Fitz,M,2012,Rhodesian Ridgeback,Brooklyn,11222,12/26/2014,12/26/2016,2016
Sissy,F,1997,Unknown,Queens,11102,12/26/2014,1/30/2016,2016
Monty,M,2003,German Shepherd Crossbreed,Queens,11103,12/26/2014,1/30/2016,2016
Sandy,F,2006,Unknown,Queens,11420,12/26/2014,1/30/2016,2016
Betty,F,2006,Shih Tzu,Manhattan,10036,12/26/2014,1/15/2016,2016
Lexi,F,2011,"Dachshund, Wirehaired, Miniature",Manhattan,10040,12/26/2014,1/22/2016,2016
Jazzabelle,F,2011,Beagle,Brooklyn,11235,12/26/2014,1/9/2016,2016
Hagler,M,2011,"Bull Dog, English",Manhattan,10002,12/26/2014,1/26/2016,2016
Bella,F,2003,German Shepherd Dog,Staten Island,10312,12/26/2014,1/30/2016,2016
Snowflake,M,1997,Bichon Frise,Bronx,10473,12/26/2014,1/30/2016,2016
Gigi,F,2001,Unknown,Bronx,10463,12/26/2014,1/30/2016,2016
Sylvia,F,2007,Unknown,Queens,11432,12/26/2014,1/9/2016,2016
Maxwel,M,2008,Unknown,Manhattan,10025,12/26/2014,1/21/2016,2016
Shadow,F,2012,Labrador (or Crossbreed),Staten Island,10312,12/26/2014,1/26/2016,2016
Mason,M,2008,Labrador (or Crossbreed),Manhattan,10010,12/26/2014,12/26/2017,2016
Dr.,M,2002,Lhasa Apso,Bronx,10473,12/26/2014,1/30/2016,2016
Leroy,M,2000,Collie Crossbreed,Manhattan,10021,12/26/2014,1/30/2016,2016
Gia,F,2006,Yorkshire Terrier,Staten Island,10314,12/26/2014,1/30/2016,2016
Lucy,F,1998,Unknown,Manhattan,10021,12/26/2014,1/30/2016,2016
Lucky,M,2002,Cocker Spaniel,Bronx,10467,12/26/2014,1/30/2016,2016
Sarah,F,1999,West High White Terrier,Queens,11040,12/26/2014,1/30/2016,2016
Fraiser,M,2002,Jack Russell Terrier,Queens,11361,12/26/2014,1/30/2016,2016
Rusty,M,2003,Unknown,Brooklyn,11204,12/26/2014,1/30/2016,2016
Oliver,M,2003,Scottish Terrier,Manhattan,10011,12/26/2014,1/30/2016,2016
Sheba,F,2011,Pit Bull,Brooklyn,11217,12/26/2014,1/29/2016,2016
Munchie,M,1999,Pomeranian,Queens,11101,12/26/2014,1/7/2016,2016
Pepper,F,2012,Cairn Terrier,Queens,11375,12/26/2014,1/29/2017,2016
Fufu,F,2011,Jack Russell Terrier,Brooklyn,11201,12/26/2014,12/26/2017,2016
Joshua,M,1999,Pit Bull,Staten Island,10304,12/26/2014,1/30/2016,2016
Texas,F,1999,Maltese,Manhattan,10028,12/26/2014,1/30/2016,2016
Bayley,M,2003,German Shepherd Crossbreed,Bronx,10471,12/26/2014,1/30/2016,2016
Mini,F,2007,Shih Tzu,Queens,11364,12/26/2014,1/9/2016,2016
Mabel,F,2008,Brussels Griffon,Brooklyn,11215,12/26/2014,1/25/2016,2016
Lou,F,2010,Unknown,Manhattan,10005,12/26/2014,1/27/2016,2016
Pollie,F,2009,Unknown,Manhattan,10014,12/26/2014,1/21/2016,2016
Joker,M,2003,Unknown,Queens,11418,12/26/2014,1/30/2016,2016
Maggie,F,2004,Yorkshire Terrier,Brooklyn,11229,12/26/2014,1/30/2016,2016
Xena,F,2010,Pit Bull,Staten Island,10310,12/26/2014,1/11/2016,2016
