animal_name,animal_gender,animal_birth_year,breed_rc,borough,zip_code,license_issued_date,license_expired_date,extract_year
Lucy,F,2011,Unknown,Manhattan,10011,9/16/2014,10/18/2017,2016
Charlie,M,2007,Labrador (or Crossbreed),Queens,11435,9/16/2014,9/3/2019,2016
Kona,M,2008,Shih Tzu,Manhattan,10022,9/16/2014,10/15/2019,2016
George,M,2013,"Bull Dog, English",Manhattan,10011,9/16/2014,9/16/2017,2016
Zoey,F,2010,American Eskimo Dog,Manhattan,10016,9/16/2014,9/16/2016,2016
Nala,F,2013,Unknown,Manhattan,10023,9/16/2014,10/31/2017,2016
Teddy,M,2008,Unknown,Manhattan,10065,9/16/2014,10/29/2017,2016
Juplay,M,2002,Beagle,Queens,11106,9/16/2014,10/23/2017,2016
Tosha,F,2011,"Collie, Smooth Coat",Manhattan,10024,9/16/2014,10/11/2017,2016
Tigger,M,2012,Golden Retriever,Manhattan,10280,9/16/2014,10/31/2019,2016
Brody,M,2006,Cocker Spaniel,Manhattan,10035,9/16/2014,9/16/2016,2016
Bella,F,2005,Beagle,Manhattan,10031,9/16/2014,10/26/2017,2016
A.j.,M,2005,Puggle,Staten Island,10308,9/16/2014,7/30/2017,2016
Sandy,F,2011,Lhasa Apso,Manhattan,10011,9/16/2014,10/15/2017,2016
Cooper,M,2011,French Bulldog,Staten Island,10309,9/16/2014,9/16/2019,2016
Ty,M,2010,Siberian Husky,Brooklyn,11236,9/16/2014,9/16/2017,2016
Oliver,M,2008,Poodle,Manhattan,10025,9/16/2014,9/16/2016,2016
Cosmo,M,2009,Boxer,Manhattan,10003,9/17/2014,9/17/2016,2016
Charlie,M,2008,Unknown,Manhattan,10128,9/17/2014,9/16/2019,2016
Zoe,F,2009,Chihuahua,Bronx,10475,9/17/2014,9/17/2016,2016
Kimberly,F,2011,Pit Bull,Brooklyn,11230,9/17/2014,3/21/2017,2016
Nova,F,2010,"Poodle, Toy",Bronx,10460,9/17/2014,9/4/2016,2016
Kirby,M,2009,Jack Russell Terrier,Queens,11106,9/17/2014,10/17/2016,2016
Zoe,F,2014,Labrador (or Crossbreed),Queens,11101,9/17/2014,9/17/2019,2016
Spuds,M,2010,Bulldog,Bronx,10461,9/17/2014,9/17/2017,2016
Boo,F,2013,Labradoodle,Brooklyn,11211,9/17/2014,9/17/2019,2016
Sammy,M,2006,Shiba Inu,Manhattan,10011,9/17/2014,10/31/2016,2016
Max,M,2005,Pug,Manhattan,10025,9/17/2014,10/30/2016,2016
Walter,M,2010,Pit Bull,Queens,11375,9/17/2014,5/17/2019,2016
Bella,F,2012,Yorkshire Terrier,Manhattan,10013,9/17/2014,9/17/2019,2016
Poppett,F,2011,"Dachshund, Long Haired Miniature",Manhattan,10024,9/18/2014,9/18/2019,2016
Mollie,F,2012,Pit Bull,Brooklyn,11228,9/18/2014,7/29/2016,2016
Marty,M,2009,Havanese,Manhattan,10036,9/18/2014,6/25/2017,2016
Butterfly,F,2012,"Bull Dog, French",Manhattan,10023,9/18/2014,8/21/2017,2016
Graisy,F,2009,Chihuahua,Bronx,10462,9/18/2014,10/8/2017,2016
Smokey,M,2013,American Staffordshire Terrier,Manhattan,10036,9/18/2014,9/18/2019,2016
Sparky,M,2010,Tibetan Terrier,Bronx,10458,9/18/2014,9/18/2017,2016
Gigi,F,2009,"Poodle, Standard",Brooklyn,11201,9/18/2014,9/18/2019,2016
Phillip,M,2011,Maltese,Bronx,10463,9/18/2014,9/18/2019,2016
Kate,F,2011,Maltese,Bronx,10463,9/18/2014,9/18/2019,2016
Rusty,M,2005,German Shepherd Crossbreed,Brooklyn,11218,9/18/2014,10/30/2016,2016
Curtis,M,2010,Labrador (or Crossbreed),Brooklyn,11215,9/18/2014,10/24/2017,2016
Moneypenny,F,2014,Chinese Crested,Brooklyn,11215,9/18/2014,9/18/2019,2016
Sebastian,M,2004,Italian Greyhound,Manhattan,10128,9/18/2014,10/31/2016,2016
Midori,F,2008,Anatolian Shepherd Dog,Manhattan,10019,9/18/2014,9/18/2017,2016
Campbell,M,2014,Poodle,Manhattan,10128,9/18/2014,9/18/2016,2016
William,M,2011,Maltese,Bronx,10463,9/18/2014,9/18/2019,2016
Apollo,M,2011,Maltese,Bronx,10463,9/18/2014,9/18/2019,2016
Snoopy,M,2012,Unknown,Bronx,10454,9/18/2014,9/6/2019,2016
Lissy,F,2010,Chihuahua,Queens,11373,9/19/2014,10/17/2019,2016
Penny,F,2013,Labrador (or Crossbreed),Brooklyn,11217,9/19/2014,9/19/2019,2016
Gunther,M,2010,Unknown,Manhattan,10021,9/19/2014,9/23/2016,2016
Tesla,F,2013,Pit Bull,Brooklyn,11237,9/19/2014,9/19/2019,2016
Andy,M,2010,Chihuahua,Queens,11373,9/19/2014,10/17/2019,2016
Max,M,2010,Unknown,Brooklyn,11218,9/19/2014,10/25/2017,2016
Coco,F,2014,Maltese,Brooklyn,11214,9/19/2014,9/19/2016,2016
Sasha,F,2014,Manchester Terrier,Queens,11385,9/20/2014,9/20/2019,2016
Jett,M,2009,Labrador (or Crossbreed),Brooklyn,11237,9/20/2014,9/20/2016,2016
Nina,F,2005,Golden Retriever,Manhattan,10023,9/20/2014,9/20/2019,2016
Belle,F,2006,Cocker Spaniel,Brooklyn,11218,9/20/2014,9/20/2017,2016
Cooper,M,2008,Labrador (or Crossbreed),Brooklyn,11201,9/20/2014,9/23/2019,2016
Brutus,M,2013,Cocker Spaniel,Queens,11102,9/20/2014,10/23/2019,2016
Jocki,F,2008,Unknown,Bronx,10463,9/20/2014,6/19/2019,2016
Coco,F,2002,Maltese,Manhattan,10027,9/20/2014,9/20/2016,2016
Lilly,F,1998,Beagle,Manhattan,10021,9/20/2014,10/16/2016,2016
Augusta,F,2001,Jack Russell Terrier,Brooklyn,11217,9/20/2014,10/14/2017,2016
Minnie,F,2007,Chihuahua,Brooklyn,11217,9/20/2014,10/14/2017,2016
Zoey,F,2014,Labradoodle,Staten Island,10301,9/20/2014,9/20/2019,2016
Rosie,F,2013,Labradoodle,Manhattan,10013,9/20/2014,9/20/2019,2016
Chauncey,M,2006,Shih Tzu,Bronx,10463,9/21/2014,9/21/2016,2016
