number,entity_name,full_address,website,lat,long
54,BK Exotic,"1056 Flatbush Ave, Brooklyn, New York, 11226",brooklynexotic.com,40.6452176,-73.9581997
55,Culture House,"958 Sixth Ave, New York, New York, 10001",-,42.71684934343434,-73.70821662626263
56,Freshly Baked NYC***,"-, Long Island City, New York, -",freshlybaked.nyc,40.7415095,-73.9569751
57,New York City Cannabis Exchange,"248-09 Jericho Turnpike, Bellerose, New York, 11426",nycce.co,40.7258727,-73.7187531
58,Urban Weeds,"31-35 Steinway St, Astoria, New York, 11103",urbanweedsny.com,40.7603338,-73.917688
59,Treehouse Cannabis***,"-, Nyack, New York, -",treehousecannabis.com,41.091121,-73.9196794
60,High Stone***,"-, Staten Island, New York, -",highstone.nyc,40.5724274,-74.14520777205962
61,Royale Flower,"332 Northern Blvd, Albany, New York, 12204",royaleflower.com,42.6750161,-73.7489145
62,Brownies Dispensary LLC,"1686 Central Ave, Albany, New York, 12205",browniesbrand.com,42.7226472,-73.8391054
63,Northern Lights NY,"90 Broadway, Spc 8, Menands, New York, 12204",nldispo.com,NA,NA
64,"Buddega NYC, LLC (dba Cannabis Realm of New York)","475 Central Ave, White Plains, New York, 10606",cannabisrealmny.com,41.02987115,-73.78869615082417
65,Beechnut Ridge Enterprises LLC (dba The Grass Hole Cannabis),"779 State Route 3, Plattsburgh, New York, 12901",thegrasshole.com,44.695156499999996,-73.5232445
66,Cannavita,"30-30 Steinway St, Astoria, New York, 11103",cannavita.us,40.7808439,-73.8963152
67,The Emerald Dispensary,"85 Suydam St, Brooklyn, New York, 11221",theemeralddispensary.com,40.6978891,-73.92938998939597
68,Etain,"75 Mamaroneck Ave, White Plains, New York, 10601",etainhealth.com,41.03052945,-73.76546951694378
69,NYCBUD,"44-45 Vernon Blvd, Long Island City, New York, 11101",nycbud.com,40.7492669,-73.9520648
70,Puffalo Dreams,"900 Niagara Falls Blvd, Buffalo, New York, 14201",puffalodreams.com,42.9785759,-78.8235268
71,Weed Mart by New Metro,"221-50 Horace Harding Expy, Bayside, New York, 11364",newmetro.club,NA,NA
72,Public Flower,"232 Allen St, Buffalo, New York, 14201",publicflower.co,42.8993462,-78.8787962
73,Exit 31 Exotic,"255 Genesse St, Utica, New York, 13501",uticacannabisco.com,NA,NA
